F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,Class
0.7602,0.7602,0.62,1,1,0.7602,1,1,0.6199,1,0.766,1,0.7602,0.7602,0.62,1,0.7607,0.7602,0.62,1,1,0.7603,1,1,0.621,1,0.7656,1,0.7602,0.7602,0.62,1,0.7602,0.7604,0.6206,1,1,0.7608,1,1,0.6209,1,0.7609,1,0.7602,0.7603,0.6207,1,1,0.7602,0.62,1,0.7602,1,0.7602,1,0.7607,0.6201,0.7656,1,1,0.7602,1,1,1,0.7604,0.6206,1,0.7603,1,0.7602,1,0.7604,0.6203,0.7609,1,1,0.7603,1,1,C
0.760218519,1,0.760203161,1,1,1,1,1,0.760234737,1,1,1,1,1,0.760967489,1,0.760200847,1,0.760187541,1,1,1,1,1,0.760225647,1,1,1,1,1,0.760198184,1,0.760246842,1,0.760270862,1,1,1,1,1,0.760246195,1,1,1,1,1,0.760246693,1,0.760200847,1,0.760187541,1,0.76020158,0.620000489,1,1,1,1,0.61992041,1,1,1,1,1,0.760246842,1,0.760270862,1,0.76023384,0.620586875,1,1,1,1,0.619944158,1,1,1,1,1,C
0.767665058,0.760478457,1,1,1,1,0.760250036,0.76088263,0.760278343,0.760712102,0.760241499,0.778357575,0.763612333,0.76034777,1,0.761189802,0.76018857,0.760194339,1,1,1,1,0.760407743,0.7607682,0.760391117,0.76119573,0.760243026,0.760315459,0.760222477,0.760286632,1,0.760190783,0.762599323,0.765635109,1,1,1,1,0.761432675,0.760436417,0.760253416,0.760605783,0.760312757,0.7602596,0.760194292,0.764457333,1,0.760198482,0.76018857,0.760194339,1,1,0.771757802,1,1,1,1,1,0.620052347,0.760315459,1,1,0.760242103,1,0.762599323,0.765635109,1,1,0.760187557,1,1,1,1,1,0.620083115,0.7602596,1,1,0.760909376,1,C
1,0.760669438,1,1,0.760225611,1,0.760792043,1,0.620244252,0.770195118,1,0.760289152,0.761238274,1,0.760196465,0.761770838,1,0.760234502,1,1,0.769342997,1,0.760597105,1,0.62455709,0.760192881,1,0.760208478,0.760242618,1,0.760289776,0.770242454,1,0.762035142,1,1,0.760193357,1,0.760442437,1,0.622980449,0.760333948,1,0.760217797,0.760188685,1,0.760584708,0.76020722,0.760522456,1,0.761710908,1,0.769342997,1,0.760597105,0.760307814,1,0.760192881,0.7602006,0.760208478,0.760242618,1,0.760289776,0.770242454,0.760331137,1,0.76021795,1,0.760193357,1,0.760442437,0.760512261,1,0.760333948,0.760668435,0.760217797,0.760188685,1,0.760584708,0.76020722,C
1,0.760199264,0.760349554,0.760907737,1,1,1,1,1,1,0.761521443,1,0.760605814,1,0.76109744,0.760464729,1,0.760562388,0.760528165,0.760189343,1,1,1,1,1,1,0.760741534,1,0.760509943,1,0.761370389,0.764129863,1,0.760707893,0.760532474,0.760670336,1,1,1,1,1,1,0.760347469,1,0.761359412,1,0.761539831,0.760199755,1,0.760562388,1,0.619969412,1,0.760196326,0.760286783,1,0.763944902,1,0.622114598,0.760544147,0.62042277,0.624927852,1,0.764129863,1,0.760707893,1,0.621114953,1,0.760192051,0.760194341,1,0.760211743,1,0.620917946,0.760245681,0.621393705,0.627014594,1,0.760199755,C
0.538982064,0.760814778,0.760296132,1,1,1,1,1,0.760189515,1,1,1,1,1,1,0.760190966,0.532405779,0.760247501,0.760192294,1,1,1,1,1,0.760187598,1,1,1,1,1,1,0.760302302,0.521097555,0.760468009,0.76044043,1,1,1,1,1,0.760633626,1,1,1,1,1,1,0.760198536,1,0.620120043,0.760192294,0.760198283,1,0.760189209,1,0.760210041,1,0.620107933,1,0.61998494,1,0.760240668,1,1,1,0.620449547,0.76044043,0.760439064,1,0.760583583,1,0.760393737,1,0.620053924,1,0.620229021,1,0.760393759,1,1,C
0.619953225,1,0.760202181,1,1,0.760204991,0.619953859,0.76019377,0.619956137,0.760228536,1,0.760192954,1,0.619960508,1,0.760195916,0.620021439,1,0.760194927,1,1,0.760213043,0.619955474,0.760204562,0.620072288,0.760263587,1,0.760204388,1,0.619915205,1,0.760200728,0.620747737,1,0.760292903,1,1,0.760338111,0.620558847,0.760286017,0.620576055,0.760478373,1,0.760227407,1,0.620168661,1,0.760285912,1,1,0.760194927,0.760235441,1,0.760213043,1,0.760204562,1,0.760263587,1,0.760204388,1,0.619915205,1,0.760200728,1,1,0.760292903,0.76032924,1,0.760338111,1,0.760286017,1,0.760478373,1,0.760227407,1,0.620168661,1,0.760285912,T1
1,1,0.760194542,0.760203002,1,1,0.619967548,0.760230642,0.620061818,1,0.760223945,0.760373428,0.620028047,1,0.620075705,0.760192411,1,1,0.760202256,0.760218313,1,1,0.620075501,0.760354225,0.620028746,1,0.76023602,0.760226917,0.620011879,1,0.620001836,0.760236615,1,1,0.760187664,0.760326922,1,1,0.62000182,0.760190043,0.619947484,1,0.760206205,0.760194755,0.620050695,1,0.619920836,0.760189087,1,1,0.760202256,0.760218313,1,1,1,0.760354225,1,1,0.76023602,1,1,0.620207687,0.620001836,0.760236615,1,1,0.760187664,0.760326922,1,1,1,0.760190043,1,1,0.760206205,1,1,0.628921854,0.619920836,0.760189087,T2
1,1,0.760189581,0.760211988,0.62001351,1,0.760699344,1,0.619944159,0.760195396,0.760243261,0.61993445,1,0.619981101,1,0.760198558,1,1,0.760305506,0.76018774,0.620004902,1,0.760559216,1,0.620087351,0.760192093,0.76018945,0.619912403,1,0.620467545,1,0.760195039,1,1,0.76018778,0.760190607,0.620219637,1,0.760198463,1,0.620131062,0.760241826,0.760189186,0.619996437,1,0.620044139,1,0.760199587,0.629318058,1,0.620387013,0.76018774,1,1,0.621532471,1,1,0.760192093,0.76018945,0.76019657,1,1,1,1,0.619960174,1,0.61998877,0.760190607,1,1,0.619915056,1,1,0.760241826,0.760189186,0.760270063,1,1,1,1,T3
1,0.760398022,0.623790566,1,0.761205786,1,1,0.762383322,0.760196947,0.76316596,1,0.76021254,1,0.760941768,1,1,1,0.760242675,0.63385942,1,0.760271988,1,1,0.76018973,0.760199053,0.781530556,1,0.76045568,1,0.760187887,1,1,1,0.760267734,0.619916668,1,0.760277323,1,1,0.760326209,0.76061989,0.812375095,1,0.76021051,1,0.760239267,1,1,0.760187623,0.760242675,1,0.760188199,0.620172419,1,0.760243934,0.76018973,1,1,1,1,1,1,1,1,0.760265697,0.760267734,1,0.76047224,0.620028254,1,0.760466805,0.760326209,1,1,1,1,1,1,1,1,T1
