F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,Class
0.999316517,0.971485073,0.969926731,0.978210549,0.969762695,0.970856268,0.998733277,0.981500383,0.984033828,0.979796231,0.987733751,1,0.978174097,0.986785988,0.961333066,0.965579776,0.991185662,0.997279412,0.973272059,0.977297794,0.9959375,0.988556985,0.973878676,1,0.990477941,0.996185662,0.981893382,0.969356618,0.993033088,0.973446691,0.995477941,0.984742647,0.980675149,0.978360146,0.977202644,0.972192833,0.970447537,0.959514573,0.984699276,0.96833148,0.969208649,0.994257707,0.976958484,0.98389445,1,0.972825841,0.982022553,0.990206451,0.972987599,0.970034121,0.979738406,0.992295274,0.965365424,0.983398151,0.962411946,0.990469988,0.973730555,0.981371074,0.991891694,0.998550778,0.979178896,0.983700837,0.993047402,1,0.973127275,0.986283235,0.990953554,0.993610488,0.993886294,0.986237267,0.981658883,0.988204685,0.977521789,0.950777774,1,0.985713235,0.998161292,0.996791454,0.988802265,0.995495164,3.1563,12.8484,2.2989,7.6923,17.282,C
0.980868204,0.974423422,0.984127423,0.983565806,0.970980067,0.998757078,0.981521889,0.986742163,0.983565806,0.994135248,0.993334254,1,0.975334898,0.980757722,0.97521521,0.983888045,0.981245012,0.981208735,0.974180149,0.977934775,0.989380033,0.968022201,0.991266415,0.986169557,0.977299935,0.961936806,0.978379163,0.992155191,1,0.983621127,0.990277879,0.979286077,0.971568888,0.983553385,0.973905315,0.985871487,0.993155643,0.99255092,0.990956652,0.983599197,0.979017968,0.971312339,0.972824145,1,0.990709266,0.99083754,0.981977442,0.987236694,0.988683434,0.986680023,0.990569528,0.956033246,0.980164424,0.986210755,0.983927588,0.976130529,1,0.990786113,0.952973983,0.975038579,0.995939031,0.988150996,0.98723051,0.991183186,0.997122276,0.989698847,0.992732372,1,0.988764045,0.991788405,0.995995014,0.966118005,0.99815789,0.98792089,0.975346885,0.981578899,0.977473102,0.984401635,0.988186667,0.998176219,1.8782,1.2517,1.5991,7.7515,13.8384,C
0.981765914,0.99192334,0.980561259,0.973305955,0.985571526,0.975742642,0.968605978,0.976208077,0.995026238,1,0.989322382,0.985799681,0.986438512,0.979913301,0.957006617,0.98911248,0.983140765,0.972979412,0.980309514,0.993787739,0.99787427,0.992001026,0.994740652,0.985953692,0.950402698,0.980199562,1,0.987172322,0.995638589,0.983617222,0.998414865,0.989838646,0.959459101,0.976322418,0.97066596,0.956462946,0.956993239,0.976826197,0.965274648,0.965053692,0.980273101,0.999319457,0.987458571,0.951221883,1,0.994255159,0.941711963,0.966520836,0.976883376,0.986191597,0.99708439,0.969983702,0.978422673,0.977308946,1,0.988998551,0.988582036,0.966316552,0.972618616,0.950226367,0.979219486,0.977245563,0.969893155,0.989623325,0.976883376,0.986191597,0.99708439,0.969983702,0.978422673,0.977308946,1,0.988998551,0.988582036,0.966316552,0.972618616,0.950226367,0.979219486,0.977245563,0.969893155,0.989623325,2.7758,21.1282,8.9806,1.8043,15.0791,C
0.993317,0.975067,0.976169,0.980047,0.996503,1,0.979447,0.975104,0.976934,0.988836,0.958119,0.978436,0.980667,0.994135,0.9897,0.971414,0.983719,1,0.978239,0.995176,0.966008,0.975965,0.99331,0.988469,0.982008,0.999126,0.999107,0.967982,0.984638,0.985128,0.978357,0.980824,0.979878,0.991334,0.971445,0.996727,0.99476,0.979064,0.987667,0.983831,1,0.989358,0.933856,0.961956,0.967036,0.993355,0.978984,0.997326,0.990748,0.987529,0.967291,0.968466,0.996591,0.984473,0.995289,0.996483,0.986752,0.994068,0.982428,0.960788,0.987637,0.992142,0.977698,1,1,0.988409,0.974497,0.973881,0.999421,0.999294,0.986895,0.957336,0.991769,0.990098,0.989052,0.989694,0.991236,0.995338,0.998156,0.984591,2.5951,7.7065,21.272,10.3706,19.7734,C
0.986984,0.971609,0.977935,0.978678,0.986249,0.990778,0.978815,0.973623,0.994725,0.976156,0.979096,0.977444,1,0.991812,0.984378,0.985096,0.98362,0.977788,0.97069,0.963146,1,0.966213,0.967405,0.966339,0.968833,0.969861,0.979653,0.992356,0.998026,0.977978,0.992557,0.980199,0.954808,0.992969,0.951573,0.992683,0.997916,0.982738,0.98293,1,0.990223,0.996867,0.03953,0.994331,0.986344,0.992391,0.989909,0.980484,0.999252,0.980349,0.982479,1,0.992281,0.9921,0.998573,0.039313,0.976975,0.970942,0.994562,0.97984,0.99034,0.978409,0.985666,0.989036,1,0.973495,0.960458,0.97855,0.965757,0.983124,0.983439,0.987447,0.988703,0.991087,0.985596,0.973606,0.986408,0.966599,0.966872,0.976951,3.084,0.6709,55.8929,52.5579,0.7239,C
1,0.9691,0.964592,0.963961,0.963775,0.962875,0.960977,0.964885,0.968014,0.966558,0.957958,0.952913,0.954677,0.94459,0.943079,0.955372,0.916199,0.92198,1,0.989551,0.942643,0.909952,0.95467,0.951557,0.920059,0.909563,0.979431,0.967085,0.940532,0.959412,0.933059,0.956682,0.937214,0.959838,1,0.984336,0.983827,0.939821,0.979174,0.950497,0.975062,0.933597,0.954047,0.990741,0.977707,0.967377,0.945207,0.959987,0.830994,0.938108,1,0.993333,0.882134,0.822773,0.95491,0.971785,0.926626,0.895214,0.980176,0.992846,0.911667,0.962853,0.917854,0.980022,0.988116,0.988795,1,0.986764,0.976758,0.987896,0.989114,0.992702,0.999539,0.987288,0.997768,0.995784,0.990468,0.993081,0.993864,0.992825,0.9226,1.4338,1.333,14.0405,6.6617,C
0.931245463,0.956903108,0.93548861,1,0.941987279,0.9301998,0.958009264,0.986371807,0.960057382,0.933189879,0.971939922,0.969114038,0.946878565,0.925040617,0.950300736,0.961491929,0.991770217,0.986000326,0.984616637,0.988812922,0.98931937,0.964232098,0.958941523,0.990395572,0.992113878,0.966881907,1,0.979687811,0.9861812,0.966601552,0.969097618,0.982120571,0.915301383,0.991943878,0.926121603,0.975910359,1,0.95135712,0.998233076,0.973837286,0.992801099,0.962623444,0.97106444,0.952914112,0.972367765,0.957313926,0.960043036,0.962702168,0.975138812,0.937298031,0.944716216,0.958981272,0.995500884,0.95651747,0.950081234,0.937199836,0.976504615,0.965792434,0.956338933,0.964346289,1,0.968256235,0.939342272,0.932040135,0.979172865,0.997582565,0.979191461,0.969317168,0.989781687,0.981199792,1,0.999758256,0.989949048,0.990014133,0.99212474,0.975602499,0.99970247,0.990441833,0.977573639,0.999265472,0.2341,0.9593,11.0224,2.1014,12.2019,T1
0.996807885,0.9738753,0.977582855,0.989293304,0.974797667,0.989428946,0.970077316,0.997413754,0.980087715,0.967635755,0.98947416,1,0.986860786,0.977799882,0.95433377,0.979518018,0.999807671,1,0.998433894,0.98685753,0.982269114,0.970051654,0.968915998,0.984274829,0.988048137,0.990896436,0.974795765,0.985511228,0.99771953,0.994578159,0.987755065,0.959088911,0.950564104,0.986252698,0.989033741,0.991367361,0.952757356,0.957266682,0.987919569,0.988472269,0.977269138,0.977409506,0.984313863,0.948555086,0.934369133,0.970259506,0.978681592,1,0.994437428,0.991150046,0.991167961,0.990299089,0.999605872,0.945906001,0.973736777,0.910183717,0.987961196,1,0.990003493,0.996399108,0.99758149,0.991839769,0.992341386,0.921514883,0.99622703,0.992472155,0.990771152,0.964776562,0.998452811,0.969807189,0.985948626,0.908290582,0.996597993,1,0.986165775,0.995286049,0.991694037,0.98661817,0.991612606,0.973607303,6.208,15.5617,5.4824,36.9235,37.1651,T2
0.999523103,1,0.980014484,0.958474636,0.982398968,0.992095874,0.992678748,0.975254345,0.980729829,0.98816589,0.969513918,0.971730606,0.980014484,0.99262576,0.994330225,0.979078352,0.999480571,0.958382963,0.993838493,0.961445805,0.988787491,0.979876591,0.983109591,0.995172889,0.985814205,0.958526254,1,0.996131147,0.994393745,0.987068,0.986154521,0.996749089,0.965125194,0.980580579,0.979770347,0.932079943,0.960167971,0.986130229,0.955707341,1,0.957693715,0.973288495,0.9662752,0.970770678,0.968714607,0.975971842,0.954879685,0.991409803,0.979750442,0.991858704,0.960952432,0.9922554,0.997439504,0.982310938,0.983600202,1,0.98937935,0.985727938,0.976288362,0.959221393,0.984474738,0.995338815,0.974746655,0.996177287,0.98290451,0.990187098,0.980619065,0.996698802,0.995683049,0.955896357,0.990776598,0.996354171,0.996871117,0.98898996,0.999709785,0.985298786,0.995138895,0.996653456,0.989379937,1,8.0515,15.278,8.9806,1.8043,35.2057,T3
0.983421,0.965538,0.987046,1,0.965775,0.945798,0.964697,0.967879,0.986044,0.952342,0.974805,0.995682,0.935483,0.940684,0.976488,0.982793,0.988903,0.997883,0.992394,0.989289,0.999429,0.98115,0.971893,0.98338,1,0.976111,0.987979,0.988804,0.974746,0.98642,0.985642,0.996698,0.966898,0.983472,0.979038,0.988355,0.965199,0.934479,0.95424,1,0.958825,0.962614,0.978222,0.992942,0.953889,0.964449,0.927707,0.99165,0.989244,0.994532,0.987304,0.990845,0.959173,0.985897,0.976053,0.952844,0.977905,1,0.990038,0.996041,0.975983,0.962704,0.976045,0.97677,0.990822,0.990877,0.998598,0.982637,0.988706,0.973494,0.994292,0.982986,0.985584,0.98431,0.969691,0.99019,0.991904,1,0.981772,0.998529,3.4924,4.45,7.3935,2.9843,4.4981,T1
