F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,Class
0.999364624,0.983698069,0.986629875,1,0.985350047,0.983062693,0.990051829,0.979549972,0.99566129,0.968685044,0.97961351,0.976972161,0.981120259,0.983761607,0.974929882,0.990106289,0.976036841,0.985219501,0.980494889,1,0.992692477,0.983289212,0.973123024,0.978233694,0.997067799,0.990991985,0.985256269,0.986147879,0.991635414,0.993216413,0.995063975,0.979180454,0.953589148,0.955885915,0.955239949,1,0.956801034,0.973533344,0.972304214,0.991243574,0.980979894,0.980019917,0.988013745,0.997882667,0.969881842,0.97998403,0.991476839,0.983079283,0.992649687,0.971148647,0.992099788,1,0.981532568,0.970296304,0.981257618,0.972220949,0.986490821,0.983686338,0.984694485,0.965933774,0.9504083,0.972083475,0.985986747,0.97844397,0.953457374,0.979704932,0.996795516,0.989601402,0.974181533,0.992650684,0.986698194,0.987218581,0.989564884,0.998639692,1,0.96279694,0.979796228,0.994741359,0.985073128,0.987748096,4.6671,1.8841,3.2943,6.562,11.3878,C
0.990460111,0.983319033,1,0.983697307,0.984739867,0.993670828,0.981427662,0.98606844,0.984933618,0.967680626,0.983992545,0.975476764,0.972090749,0.983651176,0.96786515,0.984841356,1,0.996824576,0.981353617,0.977818189,0.993353764,0.999436916,0.991461433,0.984473655,0.987676771,0.993787616,0.983633645,0.987492154,0.994258391,0.983430565,0.985165971,0.992882989,0.975110299,0.972235281,0.97347389,0.994584479,0.958981267,0.932057356,0.966747432,1,0.997703602,0.962226964,0.965825257,0.97115941,0.980643353,0.97762368,0.952200564,0.98620353,0.96925578,0.977835983,0.955617775,0.982126084,0.991564306,0.980807442,0.980482298,0.970980853,0.990308887,0.980662934,0.995989884,0.987310332,0.995881503,0.988574783,1,0.994436416,0.990553379,0.99169706,0.969787023,0.988311045,0.989337656,0.995920573,0.992138322,0.972902877,1,0.984483768,0.994452699,0.992057274,0.992039263,0.998955378,0.993867351,0.971642127,1.2106,6.5561,3.248,9.2248,9.0518,C
0.976065393,0.967837024,0.97325328,0.985632002,1,0.983986328,0.975875508,0.982783721,0.98549637,0.981219426,0.991328565,0.985469243,0.963704755,0.959246969,0.944282188,0.983706021,0.976957688,0.963377721,0.984393037,0.964641185,0.986674544,0.968267964,0.970076808,0.992091988,0.972421943,0.95901468,0.974803436,0.982666,0.991292097,0.975476071,0.96176885,1,0.967631937,0.950786335,0.953441493,0.962046337,0.941968369,0.987674384,0.97416771,0.98952145,0.974327552,0.97764872,0.987585582,0.984983705,0.964293009,0.986892932,1,0.954018702,0.964445197,0.976567166,0.970755751,0.98210227,0.966040662,0.99556122,1,0.963161695,0.971139019,0.974107119,0.985685381,0.952973893,0.97866177,0.928346688,0.985302113,0.975283663,1,0.98491872,0.990956696,0.965320341,0.990701699,0.979263239,0.995883612,0.993843632,0.991812759,0.993898274,0.990464915,0.982122854,0.984472474,0.980884295,0.992067757,0.996257001,1.7719,1.9967,0.9847,5.5294,9.263267597,C
0.981421315,0.988852789,0.966695648,0.986070562,0.982547019,0.96812337,0.967748135,0.993593557,0.984112021,0.97402645,0.979471926,0.974401684,1,0.972818377,0.99196449,0.967482726,0.974261531,0.975643462,0.966297243,0.993472193,0.969242938,0.969097472,0.979198298,1,0.978170941,0.975979853,0.976452619,0.989499141,0.965378986,0.972897783,0.96584266,0.967751907,0.938094042,0.969527886,0.944704853,0.985444085,0.929525113,0.941360458,0.966348112,1,0.946844919,0.918850776,0.982359618,0.979119194,0.937877436,0.932098391,0.961444155,0.949972708,0.985400729,0.98442623,0.965473588,0.972504554,0.984189435,0.976220401,0.96273224,1,0.961001822,0.991557377,0.985154827,0.993843352,0.976566485,0.949162113,0.975482696,0.989763206,0.98917011,0.99194938,0.986789202,0.990995164,0.977543496,0.997656149,0.986140705,0.99431176,0.984167423,0.997980397,0.989753757,0.973448704,0.995377147,0.99050416,0.989309073,1,0.8952,0.2225,1.6041,6.2162,5.969880602,C
0.985882223,0.978391346,0.973253431,0.983906102,0.976948318,0.988510924,0.963225765,1,0.993602882,0.98206785,0.970973998,0.982582561,0.997499977,0.985413469,0.982858298,0.959953676,0.972611278,0.984481558,0.979440126,0.982629977,0.996425167,0.982822468,0.96877979,0.986158979,0.995041065,0.991750385,0.969137274,0.990210457,1,0.980164259,0.973252915,0.964810809,0.987346842,0.986008703,0.987902125,0.996267774,1,0.979563785,0.969341126,0.984725181,0.993136345,0.967238335,0.972973219,0.994611029,0.988876145,0.9929998,0.973228103,0.989030896,0.99361867,0.961566161,0.98274306,0.97105611,0.991713387,0.996627011,0.982642782,0.976781075,0.991239346,0.984639227,0.988331282,1,0.986380418,0.981038334,0.99216008,0.987328502,0.996469478,0.985451344,0.979334193,0.994890273,0.985442268,0.990588299,0.969995099,0.98053221,0.993955456,0.956835055,0.985188143,1,0.99969142,0.976811094,0.980822639,0.979615545,3.9351,4.0925,2.9029,4.0354,8.6643,C
0.923390581,0.963040974,0.979369194,0.976929863,0.952419529,0.950943328,0.967919637,0.973653417,0.963635054,0.968765752,1,0.976947865,0.968882768,0.972699287,0.972546266,0.984715921,0.916650791,0.945392196,1,0.983901696,0.925397045,0.923786349,0.967673496,0.967431026,0.948016072,0.942932853,0.990924678,0.975787596,0.915221947,0.915802144,0.93718284,0.980082786,0.95308465,0.984551478,0.992289524,0.992611177,0.979083382,0.978109233,0.978293035,0.982189628,0.981123579,1,0.994008069,0.987988568,0.985801329,0.992188433,0.986996039,0.997794381,0.846177162,0.921470644,0.995404239,0.981387576,0.872236194,0.882509073,0.939812729,0.981371192,0.936453973,0.89772178,1,0.99929548,0.917841549,0.952444929,0.914253414,0.990316952,0.897912095,0.942341889,1,0.996139934,0.912545649,0.910194912,0.95982929,0.969509815,0.925938777,0.926554653,0.988385105,0.977429456,0.929928957,0.932496552,0.939245162,0.982547297,2.1162,1.6236,11.3328,11.7002,2.9052,C
0.92352132,0.936434496,0.968538202,0.979417281,0.922620983,0.920161727,0.954899754,0.989779501,0.884656746,0.907048477,0.973340003,0.96178567,0.907623692,0.937951732,0.951656871,1,0.978452719,0.988227209,0.973913594,0.966779391,1,0.993887553,0.96399443,0.987060781,0.947546883,0.956507586,0.97923938,0.958460676,0.99009892,0.986626761,0.957411794,0.978823444,0.979342814,0.970067799,0.940303113,1,0.942771748,0.927633725,0.965835853,0.950080671,0.959408586,0.929943662,0.980779912,0.973523888,0.942039974,0.984438782,0.987189547,0.950997593,0.984592197,0.95847066,0.975594476,0.977555634,1,0.982721833,0.962538247,0.975285775,0.957544557,0.96764997,0.978645167,0.982031796,0.982703674,0.964227022,0.980624484,0.974350593,0.967233194,0.979132954,0.992999616,0.993929424,1,0.987787324,0.953742032,0.995538708,0.974153114,0.981064094,0.989548596,0.98694692,0.986982682,0.984282662,0.984282662,0.987340301,17.4661,17.3828,17.3603,17.0539,17.0178,T1
0.970739796,0.989854323,0.982739868,0.953880855,0.979762138,0.934623683,0.978620972,1,0.98129558,0.976089011,0.932947596,0.985441221,0.960674358,0.974029563,0.980609097,0.974974591,0.987683532,0.997193033,0.985659277,0.968709515,1,0.977238376,0.987278681,0.961764071,0.998596516,0.988808119,0.974044552,0.999343242,0.991201238,0.981862675,0.998992371,0.94005506,0.963064416,0.984845807,1,0.960466555,0.970681276,0.936484934,0.989104886,0.978651586,0.980127242,0.98185915,0.987081382,0.972519219,0.96539719,0.98091367,0.994247592,0.974348326,0.999258578,0.9922106,0.982009344,0.989289575,0.999946403,0.975702788,0.981589502,0.89070721,0.973326664,0.977739466,0.969530224,0.992478584,0.994077555,0.986323885,1,0.894887759,0.998092683,0.987771268,0.984704959,0.969802333,0.992005695,0.961744146,0.97215682,0.927467192,0.995646936,1,0.963003523,0.993785249,0.991129606,0.967037179,0.990408659,0.970359014,1.5439,19.0236,19.0236,32.9309,20.7148,T2
0.99751381,1,0.976901032,0.987306868,0.985471608,0.982858848,0.981493703,0.991131081,0.993825207,0.951840233,0.950854797,0.984893003,0.992649917,0.994195876,0.989847303,0.960347524,0.995268224,0.982154445,0.952294686,0.971807629,0.976593482,0.964362968,0.995412431,0.992239888,1,0.950113563,0.950870647,0.981523542,0.985552311,0.968806331,0.977819237,0.946823852,1,0.978806625,0.985514414,0.976387865,0.986872156,0.947875268,0.997662165,0.960967144,0.984777096,0.956426349,0.968690992,0.978572842,0.988427716,0.995737947,0.978419983,0.950213103,0.995498169,0.993379661,0.965208974,0.976869904,0.98651277,0.996886158,0.994192364,0.997415785,0.991973409,0.991452913,0.924948179,0.985088256,1,0.988357334,0.932993033,0.976568564,0.983239705,0.999387158,0.99537583,0.990974511,0.986888899,0.99584939,0.986953898,0.99615581,0.9748642,1,0.974251358,0.987520312,0.995208691,0.994066577,0.994651562,0.996972933,12.105,2.5941,4.7341,30.2071,9.2933,T3
0.976915441,0.950861836,0.963333634,0.972637849,0.945248624,0.971184911,0.963342659,1,0.981256204,0.946864001,0.970282466,0.993935565,0.96812562,0.975444455,0.960283368,0.99086725,1,1.000871969,0.998330272,0.993719968,0.980900169,0.980835235,0.993998256,0.980278659,1.002096436,0.985510473,0.978924324,0.981948387,1.001029665,0.987755329,0.99428582,0.996363704,0.980382518,0.993391048,0.974028457,0.984560905,0.988921357,0.950332723,0.983950988,0.982895012,0.972835932,0.988229511,0.964196958,0.98153863,0.990177604,0.971297485,0.981438494,1,0.958562688,0.990552076,0.990272338,1,0.987754697,0.941859626,0.965276399,0.977693155,0.983342056,0.985363389,0.952832572,0.987005721,0.995054955,0.994143551,0.985634103,0.995172264,0.980039474,1,0.991863107,0.99119279,0.983158306,0.988697725,0.993669236,0.983325885,0.979592597,0.97905262,0.996071203,0.985755782,0.986975385,0.992505493,0.987236063,0.981296317,4.5176,9.6125,1.6849,9.6542,0.8327,T1
