F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,Class
0.994440299,0.97298404,0.992884311,1,0.989754136,0.979890444,0.993930736,0.983157109,0.983329997,0.96017216,0.981519227,0.979981437,0.981218948,0.986141695,0.986223589,0.999772516,0.979184751,0.980948291,0.968393352,1,0.993841318,0.986193222,0.970376191,0.973702245,0.981798079,0.979029414,0.983068193,0.981268104,0.988358812,0.984722083,0.990889902,0.981414304,0.958190016,0.962404876,0.967858352,1,0.960319723,0.973338561,0.970647467,0.980823724,0.981518775,0.97068311,0.982810857,0.99323662,0.977597975,0.968883107,0.994466326,0.979914812,0.996552303,0.987551017,0.993850053,0.993551874,1,0.988939414,0.993197786,0.992992788,0.991343484,0.998965691,0.994977543,0.994362549,0.988827596,0.988715779,0.997130025,0.980031309,0.991080023,0.986707126,1,0.981582494,0.968280452,0.989402371,0.991006683,0.990548308,0.994407825,0.981078281,0.994160303,0.99394945,0.99453617,0.997662288,0.970636499,0.981050779,C
0.992680458,0.984760659,0.979179172,1,0.990046497,0.97270178,0.969727376,0.951038802,0.97110707,0.935279836,0.978041373,0.99613865,0.973678316,0.974368163,0.970775585,0.973391627,0.989174069,0.989292137,1,0.990045956,0.988165949,0.974124934,0.968711968,0.993833215,0.985177919,0.931021016,0.996666848,0.996739506,0.991190308,0.941874194,0.994832253,0.99663052,0.942922354,0.962568582,0.981626651,0.967344072,0.958486591,0.97236536,1,0.96275293,0.95325462,0.968976869,0.975323706,0.983830049,0.96649256,0.962015538,0.996251591,0.974665321,0.982900192,0.99001471,0.990897339,0.983354879,0.993759194,0.923202425,0.94880756,0.922444613,0.994374359,0.959853787,0.986956716,1,0.978397896,0.936664735,0.968778139,0.953006731,0.986763112,0.991764524,0.98858512,0.982618043,0.987355264,0.950969764,0.989468794,0.930207982,0.989669214,0.983009775,0.988521349,0.983711248,0.991044831,0.958995709,1,0.960954368,C
0.966327245,0.980936731,0.961325719,0.967377835,0.971463463,0.994414812,1,0.976375195,0.953603434,0.961056337,0.989224718,0.987841891,0.978754737,0.99609396,0.970323079,0.969595747,0.985265164,0.976536769,0.960831103,0.977507599,0.979766819,0.979304087,0.974958037,0.980302137,0.98585492,0.956267296,1,0.992587216,0.991489362,0.99236946,0.969559497,0.981599601,0.946670588,0.967479956,0.987718494,0.923577897,0.966199912,0.963475493,1,0.966891828,0.944715925,0.991065637,0.997846412,0.92280814,0.968725405,0.9494469,0.969209746,0.959012636,0.973562512,0.986568998,0.969019275,0.985051574,0.975919938,0.976172842,0.985692866,1,0.981501888,0.970491537,0.971548314,0.979885109,0.979279947,0.977365103,0.988185776,0.990958686,0.98507271,0.990146337,0.989779348,0.99038488,0.990761044,0.986485619,0.984513051,0.994036424,0.977742098,0.986531492,1,0.996146612,0.988751778,0.991329878,0.985898436,0.997825588,C
0.975211686,1,0.986767347,0.994080129,0.971821048,0.971527803,0.978556505,0.994804076,0.99740662,0.984797112,0.988123603,0.985026209,0.985035373,0.968824457,0.98653825,0.990341263,0.994199967,0.986748084,0.988464894,0.999276156,0.992566677,0.996928302,0.993921565,0.994005085,0.985634477,0.983629986,0.988845376,0.998468791,0.982766941,0.992678038,1,0.991963474,0.948304087,0.939950623,0.97802791,0.991681931,0.948843877,0.942446043,0.985593813,1,0.950206624,0.963294309,0.987053899,0.973966214,0.963143876,0.973550311,0.986381375,0.963037688,0.992916935,0.978796151,0.980773242,0.982305941,0.975286361,0.985380409,0.98805583,0.978515005,0.989035306,1,0.975077769,0.942056719,0.965328351,0.959941231,0.991184713,0.981652957,0.992609764,0.988557652,0.989373638,0.979739441,1,0.982678845,0.984496268,0.985488432,0.982957022,0.981584682,0.98027725,0.995354444,0.995818072,0.986211693,0.986137512,0.99237795,C
0.993655486,0.99171816,0.964641503,0.979855481,0.977027536,0.984611571,0.986585623,1,0.983454684,0.997612773,0.978588415,0.985942909,0.970462663,0.967331723,0.977605979,0.969737313,0.995708076,0.990147874,0.994816605,0.991756197,0.993134759,0.996636308,0.994789034,0.989587258,0.998134346,1,0.975875157,0.989155309,0.987445891,0.99800568,0.978016524,0.99051549,0.973767944,0.978202432,0.964469233,0.99263052,0.971975862,0.965813294,0.986449666,0.989348084,0.973109628,1,0.978549877,0.997686751,0.990298985,0.961570815,0.981594587,0.971372406,0.988242791,0.995622218,1,0.984566932,0.99386741,0.990551748,0.979200916,0.980798714,0.997598685,0.986912832,0.982230268,0.978138796,0.98231339,0.994255315,0.985462807,0.997127658,0.977632814,1,0.991144234,0.982589127,0.987782323,0.986798349,0.994014158,0.970307674,0.978635009,0.976776392,0.981295384,0.994888802,0.975327764,0.983919314,0.957989778,0.986443025,C
0.93932991,0.956108912,1,0.964890696,0.945900645,0.950813095,0.95798117,0.98739346,0.943591527,0.944278021,0.981999572,0.970222175,0.940667237,0.954316893,0.933846867,0.982677151,0.915426507,0.924248669,1,0.990537661,0.947987828,0.902307267,0.939683069,0.959756557,0.949434803,0.913979532,0.972130386,0.990195649,0.946470697,0.958283274,0.934693197,0.975848673,0.987109818,0.962235152,0.994273063,0.989707981,0.991967651,0.953004355,0.961091594,0.972636952,0.979068321,0.988427197,0.970258353,0.981931789,0.97639697,0.975299155,0.97520767,1,0.833444744,0.93592632,1,0.982331047,0.893994537,0.829764056,0.960791595,0.970216137,0.918793791,0.857237173,0.994379936,0.986044746,0.93629769,0.946357687,0.881714573,0.989824466,0.925627542,0.933476673,1,0.995717086,0.927130016,0.918754156,0.949934806,0.957110415,0.924332306,0.930592614,0.992271758,0.98595964,0.942318818,0.936196669,0.943605419,0.969328809,C
0.943106,0.927368,0.972762,1,0.933329,0.925207,0.965421,0.982462,0.925499,0.943046,0.979734,0.974211,0.911279,0.916168,0.967085,0.993491,0.983069,0.972647,0.97704,0.987835,0.99655,0.960873,0.983762,0.967854,0.976106,0.959477,0.983007,0.980463,1,0.970201,0.956987,0.933422,0.944208,0.990913,0.986968,0.971064,0.99235,0.990788,0.995349,0.979855,0.979168,0.999999,0.988691,0.968404,0.978088,0.976374,0.971992,0.968395,0.986822,0.982865,0.959982,0.96934,0.989481,0.988997,0.978652,0.970391,1,0.959233,0.982984,0.974924,0.972082,0.986402,0.986009,0.973599,0.970415,0.99732,0.997889,0.966772,1,0.993173,0.999192,0.990622,0.988658,0.992952,0.999431,0.994953,0.960697,0.991291,0.994815,0.990053,T1
0.99020752,1,0.997355848,0.996562603,0.980542689,0.977825595,0.97470732,0.998796455,0.997902914,0.96621868,0.964878369,0.997410555,0.975591743,0.980998578,0.990180167,0.983697436,0.99020752,1,0.997355848,0.996562603,0.980542689,0.977825595,0.97470732,0.998796455,0.997902914,0.96621868,0.964878369,0.997410555,0.975591743,0.980998578,0.990180167,0.983697436,0.950062666,1,0.957493711,0.960987013,0.933831699,0.985413463,0.987671221,0.953813744,0.978569079,0.958240371,0.975084666,0.973698012,0.985964569,0.952515978,0.995511151,0.983377926,0.994766654,0.984515399,0.994982092,0.986867263,1,0.940251883,0.988492024,0.897729823,0.995368085,0.987154514,0.989228104,0.993994668,0.989650003,0.971391639,0.976687821,0.9021463,0.990703465,0.993747785,0.997428231,0.990748903,0.991539517,0.975890804,0.985223689,0.936514572,0.993429722,0.982370207,0.986641343,0.996510392,1,0.971583319,0.997173781,0.935469507,T2
1,0.997813528,0.99584037,0.969958226,0.984125855,0.984463603,0.981734957,0.954661808,0.977104257,0.987663319,0.948777886,0.965700827,0.996782508,0.967016265,0.955452849,0.952155364,0.987330902,0.997377534,0.975603675,0.981698139,0.99137541,0.96971236,0.977792142,0.982492266,0.991800175,0.985834988,0.974855718,0.982953968,1,0.973461379,0.994173323,0.980137587,1,0.989354712,0.957462654,0.966811232,0.983098962,0.945389232,0.961904762,0.98139922,0.951758882,0.982652122,0.927209007,0.969895299,0.983773601,0.982730976,0.989582512,0.947194112,1,0.981990538,0.987258978,0.980861587,0.987285858,0.982384775,0.986192746,0.980315031,0.988128091,0.987330657,0.919199341,0.979275679,0.988737366,0.997204501,0.947441044,0.978245287,0.988690372,0.993135805,0.993191605,0.987044259,0.988002167,0.980562111,0.985853851,0.999431952,0.999562153,0.974163663,0.974042762,0.975605174,0.999999256,0.997767239,0.995033019,0.983538133,T3
0.984599524,0.969792075,0.949036102,0.989097412,0.982829564,0.970138769,0.964226737,0.993111754,0.989726933,0.997253825,0.973833788,0.985977173,0.976096417,0.986761794,0.982920799,1,0.980832996,0.989352688,0.989076373,0.973639612,0.98688428,0.974836975,0.981247467,0.987731644,0.988385587,0.99345135,0.963812033,0.975638286,1,0.991728991,0.985613234,0.992456619,0.98043387,0.996147034,0.948414075,0.984725088,0.984925954,0.978251739,0.990522798,0.979666928,1,0.972727937,0.967441521,0.983026861,0.979246937,0.971522743,0.971221445,0.990048025,0.994850859,0.99040053,0.993793446,0.995797933,0.968810916,0.984111221,0.99164184,0.970107396,0.994593402,0.984451433,0.98427673,0.984469822,0.969767185,0.97681967,0.991053367,1,0.993005893,0.999824222,0.987834325,0.977130381,0.99589235,0.991081589,0.977861247,0.984587061,0.982838534,0.99690076,0.986243073,0.991488653,0.988787226,1,0.982533236,0.990674524,T1
